Taxi Zones
166
41
74
74
-1
166
41
74
74
-1
151
43
75
75
-1
238
43
236
263
202
239
43
236
263
202
143
43
237
141
202
50
43
161
229
-1
50
230
161
233
-1
246
186
164
137
-1
246
90
234
224
224
246
249
113
79
4
-1
125
144
148
232
-1
231
231
148
232
-1
13
231
45
-1
-1
-1
88
-1
-1
